clases,histo1,histo2,histo3,histo4,histo5,histo6,histo7,histo8,histo9,histo10,histo11,histo12,histo13,histo14,histo15,histo16,histo17,histo18,histo19,histo20,histo21,histo22,histo23,histo24,histo25,histo26,histo27,histo28,histo29,histo30,histo31,histo32,histo33,histo34,histo35,histo36,histo37,histo38,histo39,histo40,hist41,histo42,histo43,histo44,histo45,Fourier1,Fourier2,Fourier3,Fourier4,Fourier5,Fourier6,Fourier7,Fourier8,Fourier9,Fourier10,Fourier11,Fourier12,wavelet1,wavelet2,wavelet3,wavelet4,wavelet5,wavelet6,wavelet7,wavelet8,wavelet9,wavelet10,wavelet11,wavelet12,wavelet13,wavelet14,wavelet15,wavelet16,wavelet17,wavelet18,wavelet19,wavelet20,wavelet21,wavelet22,wavelet23,wavelet24,wavelet25,wavelet26,wavelet27,wavelet28,wavelet29,wavelet30,wavelet31,wavelet32,wavelet33,wavelet34,wavelet35,wavelet36
1.0,81306.0,111546.0,203090.0,353457.0,559491.0,738286.0,677878.0,580518.0,483291.0,389014.0,446265.0,1087961.0,2143611.0,4161588.0,961898.0,21685.0,39744.0,81739.0,141644.0,292380.0,480115.0,685468.0,833991.0,717966.0,779428.0,1285067.0,2144809.0,4186745.0,1288329.0,90.0,2417.0,10937.0,31837.0,104713.0,201622.0,508947.0,829792.0,981776.0,1810827.0,2872822.0,5002832.0,588465.0,31036.0,1072.0,105.0,373.12013455069723,888999.5760994729,6005007.337451615,2407.870300113963,321.5454108601639,810669.6101632569,6226478.353178573,2470.8601795160207,300.4512253724171,798564.7511308442,6386595.356990272,2516.991964916883,0.015653942979332636,2.3954585035562466,1.7198643624423124,90.61261815794997,0.04892282148923582,2.380224825741478,0.5393707473820584,83.35056241297194,0.011775833588554292,0.626361021691049,0.016422342486894705,29.696097959930306,0.031806796810906486,2.3772217871710857,1.8410989150016948,100.79332613417036,0.025549117119976008,2.272003264705373,0.2177350800040276,95.4732365532732,0.011606557518194487,0.6108857238502421,0.019965821112175583,31.372434506596054,0.02947996192595272,2.334603389057922,1.7227912559316862,99.19358685514344,0.0449525788694265,2.199825880704702,0.24564611234295045,98.31631132720423,0.011743700347223506,0.6147786560634715,0.024090800916070517,30.227582008662964
1.0,557882.0,510097.0,674579.0,887581.0,1038586.0,1160205.0,1176842.0,1050143.0,828393.0,587537.0,387861.0,732457.0,925577.0,2290621.0,170839.0,235697.0,294871.0,408214.0,588510.0,740368.0,1074138.0,1268260.0,1233969.0,1337884.0,1127702.0,1284427.0,2552637.0,824515.0,7588.0,420.0,1354.0,42231.0,157868.0,318227.0,476607.0,767469.0,1062934.0,1301110.0,1777949.0,1909760.0,3547316.0,1457772.0,137991.0,17161.0,3451.0,339.472369053339,714142.5243303564,5377780.460391133,2229.711068429231,305.8745795290728,713160.4105756575,5908060.93197344,2378.742177654173,295.8183565593468,769569.6492185488,6256468.26334571,2478.823397868641,0.02698583047055365,4.6114450973639105,1.3348968663075584,55.19255835360825,0.08462819533566783,4.104866642782048,-0.2648245505904098,47.041211707817155,0.015461009002227497,1.0066146923862158,-0.050342085413279884,35.718721923538354,0.031083894973192576,4.770842739875805,1.1566386676957574,57.4585028981118,0.03515061419077736,4.197272111846572,-0.32174839367488944,50.575100355084565,0.01558615952109478,1.003554434586102,-0.03890882637005843,37.41645737359328,0.01705383378781114,4.716482909612784,1.038789828123962,57.301546503781616,0.08401343569231301,4.147054952171039,-0.1924722453955444,50.83087135566464,0.015566787327756603,1.0092736698762659,-0.043028121508498204,36.59566499246598
1.0,539856.0,510750.0,667885.0,882543.0,1044465.0,1170547.0,1191469.0,1056115.0,833209.0,583639.0,390870.0,738309.0,920019.0,2296621.0,152903.0,221546.0,289237.0,399478.0,583943.0,788192.0,1092491.0,1291129.0,1242723.0,1359736.0,1259921.0,1223747.0,2634029.0,589887.0,2977.0,164.0,4092.0,58242.0,166952.0,335760.0,503859.0,762533.0,1108541.0,1354747.0,1764045.0,1901088.0,3626948.0,1245974.0,129278.0,14895.0,2246.0,334.6621816434407,714182.9963610823,5383537.344750438,2231.4017614858317,299.10571840461415,713683.2126891371,5916022.763238273,2381.070155262695,291.8370975492552,769677.9089703871,6262022.539139021,2480.4565594000674,0.026539539722836188,4.280682828534979,1.3523757864290071,53.12383597244892,0.08332022635331683,3.923924587257621,-0.2366958834257307,47.49168252975428,0.01522931142000022,0.9286475732627629,-0.010243064460239084,32.839642025861586,0.03059872530967835,4.424386616278142,1.1583746556530103,55.49023459178122,0.03361110137376525,4.0017616597431385,-0.2980894693510424,51.03520600180715,0.015291117941602985,0.9214043322902632,-0.01475428227380176,34.86542686067056,0.01690529442043933,4.363538461962296,1.038940531728723,55.40263478913339,0.08297319887801177,3.94590315122816,-0.1622560134223358,51.3519393201087,0.015455012847146631,0.92731550596731,-0.010128768559219944,33.951156006906984
1.0,538602.0,501837.0,658854.0,864484.0,1040398.0,1166814.0,1187454.0,1061251.0,847788.0,598697.0,396904.0,714762.0,879015.0,2333529.0,188811.0,226206.0,298110.0,409801.0,592826.0,789684.0,1096180.0,1283719.0,1243199.0,1344391.0,1247155.0,1198176.0,2679080.0,567848.0,2694.0,131.0,1840.0,43866.0,163439.0,329942.0,487269.0,780652.0,1091976.0,1349567.0,1870071.0,1852365.0,3624911.0,1262154.0,107825.0,11639.0,1684.0,342.3753003363766,716343.8759901875,5408125.986786463,2238.3237632569967,307.88274867852056,712054.4928094628,5916040.180214494,2381.044872373467,294.50600672753484,763117.4084876318,6256237.004625738,2478.7594977381755,0.02736118593492665,4.1777342443063725,1.3348514496668484,54.156307727975985,0.08219629320767853,3.7461109819038,-0.2759929270191788,44.340280433656815,0.015458856536301028,0.8815837872427722,-0.046289811064126496,28.7078056698702,0.031528014036537814,4.312900638446833,1.1388012882564356,56.36914784936021,0.032290967115240564,3.814381520747367,-0.3648377011884372,47.89009166455106,0.015556024998124281,0.8717182258503413,-0.04265981199410414,30.106190587394277,0.016493193287750254,4.248304466233462,1.0174931871252046,56.32228228455565,0.08245358975967411,3.754748814795872,-0.218593048766636,48.06081769255701,0.015671643167888653,0.8774588299643304,-0.038809973024593,29.0990788818711
1.0,538671.0,499263.0,661093.0,868789.0,1039346.0,1165252.0,1185123.0,1062194.0,845940.0,604155.0,398547.0,689292.0,884528.0,2338135.0,198872.0,228782.0,295227.0,406868.0,591390.0,791257.0,1094905.0,1283936.0,1240516.0,1342936.0,1232615.0,1194195.0,2717890.0,555172.0,3295.0,216.0,3334.0,57503.0,185571.0,353861.0,474900.0,806476.0,1122785.0,1369833.0,1921454.0,1687885.0,3664016.0,1209957.0,106975.0,12581.0,2069.0,344.33493512734225,715899.5682276798,5422741.384599068,2242.4483707365907,309.2133589620372,712493.5069637777,5921894.808913873,2382.6740284589528,295.3628063431047,761788.7463229194,6254897.0736566875,2478.3512780242795,0.02820608646640124,4.326296518013237,1.3420757176179237,54.654276156069756,0.08294979081106148,3.8909388906688034,-0.2559712875230348,46.77828214495841,0.015266364583448646,0.9234508288666736,-0.009043522929460741,31.32829600504279,0.03227882105751266,4.467745257281199,1.1667823188127069,57.02480050126773,0.033467962389655374,3.967751320900844,-0.33062753330148,50.13270532882081,0.01523438508968403,0.9153539640130092,-0.010287356855830723,32.80561217304107,0.017429631276436895,4.406709988154929,1.0457132991918168,56.8754020381584,0.08308658770806658,3.9111740149448484,-0.19276774706782104,50.399030639581426,0.015272053243397159,0.9206370130919028,-0.01719973695732521,31.860919029206638
1.0,875404.0,752170.0,848662.0,1022535.0,1008680.0,1176664.0,1069894.0,853225.0,718291.0,370367.0,414958.0,1297798.0,2157845.0,407703.0,5004.0,452373.0,434703.0,582713.0,705845.0,976186.0,1053368.0,1322051.0,1184257.0,1159806.0,1317680.0,2713232.0,983499.0,92919.0,544.0,24.0,20814.0,168844.0,361313.0,527129.0,674963.0,971972.0,1297583.0,1552224.0,2160325.0,3509530.0,1486719.0,225411.0,19943.0,2247.0,183.0,311.63094666025944,638520.314593153,5234620.181645234,2188.76749046427,277.9216722729456,637615.7767095675,5801575.562600609,2347.7608796517616,267.78567996155664,693349.0928505008,6204990.453941624,2463.6408540536677,0.02705588170539261,4.093117222823197,1.352322545543155,42.86956809218218,0.0814565752299141,3.8066646924706617,-0.4155858786674877,36.83584790442313,0.015273283223926562,0.9354445686313032,0.011027782012252756,23.205421087465037,0.03145842404439738,4.240778958701478,1.2208691733527923,45.15000460901826,0.032788647986952364,3.8988782175543073,-0.4986971906855033,39.78538562161583,0.015394436306073275,0.9279551976538798,0.03072118122411445,24.386024586977854,0.01592219404541826,4.1931455420156585,1.0892761668796012,44.949768412677535,0.08247165509869979,3.847439363613458,-0.36556217212598496,39.747737986593656,0.015396896267132091,0.9342984854206786,0.02210536721234826,23.630995470511728
1.0,637784.0,583202.0,749543.0,949104.0,1052074.0,1160130.0,1164452.0,1007708.0,785119.0,494994.0,420714.0,645257.0,1585886.0,1717580.0,25653.0,291060.0,341485.0,471770.0,656093.0,860658.0,1130317.0,1287694.0,1264318.0,1323932.0,1377945.0,1324165.0,2449980.0,198654.0,1047.0,82.0,2869.0,65555.0,215745.0,390444.0,557619.0,837613.0,1157268.0,1438459.0,2087345.0,1855003.0,3566620.0,733905.0,62480.0,7143.0,1132.0,323.7284959154253,691397.7722589629,5353881.268520342,2222.69070663982,288.61508889956843,688243.779432914,5883524.123785589,2371.538028007443,276.9918308505518,736056.6296664006,6237800.184493123,2473.332674756965,0.02855098069422561,4.224027124522852,1.3670985012184875,52.54818880153988,0.08132329530848527,3.8800089089637364,-0.2929937217916766,46.73028482902871,0.015538497775580218,0.9208294707527299,0.06786688378468647,30.240500939860038,0.033035681888905696,4.375702960083092,1.1836386634623646,54.955745155007286,0.03251620729968843,3.967245886005271,-0.3561868331408977,50.127093628820276,0.01548253366149214,0.9143334622892852,0.0591621231863996,31.74532150034337,0.01861554390968991,4.3200406873405806,1.0642602515855253,54.89618116720989,0.08125349391344137,3.916079445001557,-0.21577140229950134,50.46658564971156,0.01548883731170536,0.9203259730186294,0.057448031732808075,30.87151809633095
1.0,562374.0,525047.0,688551.0,906931.0,1045821.0,1164751.0,1180200.0,1045786.0,825794.0,572652.0,383879.0,687465.0,950238.0,2298967.0,140744.0,228543.0,298966.0,410702.0,552599.0,786319.0,1090720.0,1281224.0,1174486.0,1334859.0,1214586.0,1220885.0,2470798.0,906848.0,7430.0,235.0,1881.0,44843.0,162950.0,331707.0,490044.0,797101.0,1104899.0,1261857.0,1829281.0,1857180.0,3622877.0,1339383.0,119784.0,13345.0,2068.0,339.00048053820365,709829.3287366077,5387413.213590698,2232.453071852453,305.69005285920167,710924.7046801277,5916315.834551818,2381.085653592287,295.25564632388296,766385.4534245473,6259014.613802471,2479.5639001459404,0.02772852730741273,4.207043245021895,1.2869504041503328,52.54241319188048,0.08243715798853904,3.8127079198032408,-0.2404763424332548,45.3078529967756,0.015168119888662162,0.9019936483019556,0.0022758591453671782,27.683103966596533,0.03129745034261108,4.348323940975445,1.08307205863942,54.60894916266774,0.03282099263118665,3.8920828016591478,-0.3087219892744234,48.79923778963303,0.0152968066015515,0.8929239242017091,0.002583207637103409,29.00081775145857,0.01679934312889827,4.283594885416385,0.9552076866417144,54.58754320880658,0.08263112976171587,3.831873390887218,-0.16724559316076068,49.02759716233982,0.015333398522301391,0.8985632955711557,0.013042449074400836,28.27409367036743
1.0,581104.0,534099.0,695217.0,911648.0,1039237.0,1165520.0,1178279.0,1042633.0,827769.0,556202.0,384206.0,692769.0,1041951.0,2220199.0,108367.0,240416.0,311592.0,426031.0,608216.0,804239.0,1109020.0,1283954.0,1172226.0,1341965.0,1262972.0,1162030.0,2671570.0,581827.0,3002.0,140.0,2448.0,50615.0,177972.0,351192.0,502449.0,809145.0,1109847.0,1278563.0,1865952.0,1840277.0,3645372.0,1227442.0,105330.0,10857.0,1739.0,332.48678519942337,706977.1188147019,5376655.055501296,2229.3421627794487,299.28832292167203,706654.6532226305,5905844.12323021,2378.069860208681,289.0370014416147,761633.9153627143,6254102.168845813,2478.126127581061,0.0272899623748956,4.198433479276353,1.3750116165698287,54.32188698339715,0.08218576149939545,3.7116873954144936,-0.2610317490721384,43.63155172730495,0.015245916157147231,0.8826998487729005,-0.058726825122887676,28.802882896618108,0.031326008953028284,4.341849839807728,1.176653540327428,56.65877371469037,0.03268821238934788,3.784011635784039,-0.3380021819737684,47.12906890952729,0.015282508077897125,0.8733834802915581,-0.06816502653924991,30.413380585752893,0.016871008713182076,4.277973207860573,1.048384193554495,56.53806623949443,0.08264919510074155,3.7244939407600564,-0.18916483511592372,47.297784383736754,0.01540473739300707,0.8790965595939684,-0.06595495711982373,29.46060204877988
1.0,642964.0,584766.0,755905.0,963882.0,1059892.0,1172095.0,1173004.0,1014967.0,782876.0,477646.0,415717.0,622302.0,1582882.0,1711368.0,18934.0,273302.0,331327.0,456482.0,652228.0,865087.0,1141329.0,1295998.0,1284199.0,1346405.0,1383797.0,1301848.0,2436523.0,209554.0,1032.0,89.0,2337.0,53664.0,193231.0,361295.0,530489.0,847826.0,1154283.0,1425622.0,2070974.0,1853925.0,3609550.0,800813.0,66293.0,7644.0,1254.0,327.205670350793,688741.7269902753,5343352.428496868,2219.866723911168,294.06150888995586,689542.5793546034,5893675.867056269,2374.508285267746,283.9706871696303,745959.2490468409,6250846.389153155,2477.156128755239,0.02825626582831194,4.259622416129276,1.3755999559835663,52.44846472858083,0.08191255207430065,3.8893149108052283,-0.22859966647834626,46.902297366986616,0.015548491367381654,0.9328205185347777,0.044170305804421495,31.32572752922973,0.03191835988861296,4.418305341071396,1.1896307072597647,55.015078934356154,0.03262281201838576,3.9826923757313697,-0.2763043107711305,50.60103589688313,0.0157534368730943,0.9259556176616648,0.059474893188054975,32.849443118179785,0.01776253319409954,4.3599611692171845,1.0746218030634949,55.007155460151175,0.08168123886098883,3.9300472304536296,-0.1356536405531687,50.99211176682472,0.01578587760955744,0.9318709698034819,0.0591980301888152,32.190092228960786
1.0,592617.0,540165.0,703847.0,928207.0,1058784.0,1177838.0,1183560.0,1038406.0,815411.0,541187.0,371907.0,676332.0,1270377.0,2036818.0,43744.0,249049.0,311702.0,428989.0,614275.0,822152.0,1122276.0,1309539.0,1183278.0,1343156.0,1253975.0,1204389.0,2727328.0,406694.0,2269.0,129.0,1387.0,40720.0,163466.0,327964.0,491170.0,790024.0,1093198.0,1360861.0,1854336.0,1866364.0,3711124.0,1160291.0,104445.0,11892.0,1958.0,338.7361845266704,700878.2208520743,5375678.197709028,2229.1122745476496,304.13358962037495,701157.6530038881,5906190.959942642,2378.144753718876,293.4608361364735,756867.1763577352,6253955.266935487,2478.0714960753785,0.028125253683484192,4.263659226382253,1.3583834324693518,54.02082744323822,0.08232678645447042,3.9051152068586767,-0.28203803081163914,47.54496966640893,0.014933039859979015,0.9268705341291492,-0.04260070650421601,32.72964959663023,0.03192510556307894,4.419671984507635,1.165204337880246,56.363685408605186,0.032957962494203706,3.9949586294969177,-0.3386142427932627,51.137475722831475,0.014999920051265587,0.92037307827088,-0.05504345451384198,34.82683166351673,0.017938189788455648,4.361413855905774,1.046861735540355,56.27816608770726,0.0823062227174944,3.9410195446898038,-0.20094335743515493,51.4194508279959,0.015019445992169941,0.9260770619617392,-0.049793966642924174,33.702420130258965
1.0,84615.0,115849.0,207539.0,355555.0,561412.0,734776.0,676374.0,576501.0,475836.0,391120.0,440364.0,1091331.0,2159717.0,4130950.0,977261.0,22838.0,42588.0,84236.0,145079.0,297925.0,478941.0,686424.0,765377.0,723101.0,756846.0,1213402.0,1976106.0,4105857.0,1680305.0,175.0,2307.0,10801.0,34686.0,99321.0,215517.0,509481.0,824179.0,962988.0,1932145.0,2768205.0,5082632.0,505779.0,29871.0,1150.0,138.0,369.8909178279676,888567.1059981995,6002793.089310806,2407.21293139518,316.594425756848,811190.0970051476,6224493.281706794,2470.277275031996,294.44690052859187,794327.9027849089,6384568.451324229,2516.3923756075837,0.01650303313198552,2.5010281179998577,1.7917453251357565,94.01478818768622,0.04950316089621301,2.476511293028236,0.5805132766301115,87.452391554706,0.012059036605450536,0.6479642908651687,0.034418207090242584,34.86146579671692,0.032774810705996534,2.4861172212598324,1.9006370575383091,103.78303784402858,0.02544412675072353,2.371905169175981,0.2546496179485401,100.58855990596152,0.012204943045751588,0.6328691994372992,0.05555489847391325,36.63569095334046,0.030267476178352095,2.4413568929304916,1.7843010444378986,101.80679679659599,0.04499049686293468,2.299447876948254,0.29290511247129386,103.70300561658483,0.012189875784266335,0.6358094896389581,0.04004096429931205,35.11784149327018
1.0,615073.0,562013.0,722567.0,942713.0,1061851.0,1182552.0,1186863.0,1029336.0,802381.0,510826.0,358692.0,649605.0,1632648.0,1705755.0,16325.0,265860.0,328825.0,447884.0,636922.0,844605.0,1138928.0,1320470.0,1195433.0,1327708.0,1265185.0,1311351.0,2657742.0,236855.0,1328.0,104.0,3707.0,65990.0,211335.0,388548.0,503887.0,856170.0,1160665.0,1454316.0,1991513.0,1815058.0,3691223.0,758949.0,68703.0,7840.0,1296.0,334.869293608842,693418.8934564912,5379125.730509448,2230.046032148889,299.5862566074,692535.4806476161,5900308.27866471,2376.4092303594985,288.46708313310995,747066.2559275586,6248599.531435711,2476.490093114285,0.029864542244296268,4.204512183369514,1.3944336803716433,54.280902606559906,0.08105487127638769,3.819479554833496,-0.2057526278101348,46.84219654134115,0.015435486906242276,0.9039917256562356,-0.055213302829118384,31.467730904610697,0.033324169978389245,4.357440188751965,1.192521075482076,56.713994372586185,0.03268851988448022,3.905953299163935,-0.2587535284358794,50.519929842176,0.015639048683859336,0.8968046320112034,-0.05132482452617984,33.07224918251863,0.018926325396268973,4.298166954049751,1.0652475414301348,56.587186329948885,0.0820856526153691,3.850420787642251,-0.11837388555494455,50.98950901690708,0.015644891091374027,0.9027251022966659,-0.059187618758205135,32.238081694267514
1.0,659871.0,604661.0,777011.0,967133.0,1068868.0,1182744.0,1173490.0,1011603.0,769665.0,458102.0,487580.0,545113.0,1780052.0,1483845.0,9462.0,283285.0,339544.0,474800.0,671541.0,892164.0,1158802.0,1310738.0,1298695.0,1375167.0,1332297.0,1452813.0,2262600.0,126074.0,625.0,55.0,6391.0,78941.0,226492.0,375974.0,578374.0,916731.0,1228224.0,1405417.0,2121285.0,2123529.0,3335547.0,526868.0,48856.0,5765.0,806.0,321.14560307544417,681777.0307492275,5342113.480478391,2219.4580971155387,287.7900048053814,681509.473659973,5890606.097478167,2373.6018318263045,279.91782796732355,738050.241132273,6251026.562122224,2477.19923853428,0.02910220415585821,4.146569189132223,1.3563483801789342,53.15853903149859,0.08058907380621165,3.7036140219556777,-0.30290345647290834,42.77462967797362,0.015320944969441138,0.8997802156033541,-0.03693071224073957,29.21690830291004,0.0328798587305863,4.2957714019559505,1.1589974960677998,55.42683279354214,0.03089019225825655,3.784639670450558,-0.3683915035202541,46.22315112206542,0.015405506130837953,0.890911126737455,-0.026346709888702115,31.054401091955285,0.018564442062382152,4.2379049099529436,1.0289654086070756,55.4676006436929,0.08059845240774839,3.729960222232016,-0.2149871939205703,46.62516010089322,0.015393667568242397,0.8974772386280658,-0.02623844041952289,30.42158284113345
